Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,ActivationFunction,AverageFitness
145,-0.5500,0.5500,800,311,0.6500,0.3000,0.3000,SELU,0.0879
146,-0.3500,0.3500,300,133,0.4500,0.5500,0.3000,SELU,0.1197
147,-0.5000,0.5000,600,396,0.5000,0.4000,0.4500,TANH,0.1487
148,-1.0000,1.0000,300,118,0.4000,0.4500,0.2000,SELU,0.0937
149,-0.7000,0.7000,400,259,0.5500,0.5000,0.2000,TANH,0.1123
150,-1.0500,1.0500,700,323,0.2500,0.5000,0.3000,TANH,0.0963
151,-0.8500,0.8500,600,367,0.5000,0.6500,0.2500,SELU,0.1462
152,-0.6000,0.6000,900,345,0.2500,0.6500,0.3500,SELU,0.1201
153,-0.7000,0.7000,700,414,0.5500,0.6000,0.5500,SELU,0.1273
154,-0.4000,0.4000,600,264,0.4500,0.5000,0.4500,TANH,0.1097
155,-0.4000,0.4000,500,313,0.2500,0.7500,0.4000,SELU,0.1283
156,-0.6500,0.6500,500,363,0.4000,0.7500,0.2000,SELU,0.0774
157,-0.0500,0.0500,800,321,0.2500,0.4000,0.2000,SELU,0.0556
158,-0.9500,0.9500,900,484,0.4500,0.4500,0.4500,TANH,0.1215
159,-1.0500,1.0500,100,39,0.2000,0.3500,0.2000,SELU,0.1430
160,-0.8500,0.8500,400,178,0.3500,0.3000,0.2000,SELU,0.0846
161,-0.6000,0.6000,900,494,0.6000,0.5500,0.5000,SELU,0.1235
162,-0.2000,0.2000,400,157,0.4500,0.4500,0.3500,SELU,0.1895
163,-0.1000,0.1000,900,342,0.5000,0.6000,0.4000,SELU,0.1322
164,-0.3000,0.3000,700,293,0.3000,0.3500,0.2500,SELU,0.0992
165,-0.7500,0.7500,800,500,0.3500,0.3000,0.3500,SELU,0.1279
166,-0.5500,0.5500,900,344,0.4500,0.4500,0.3500,SELU,0.1445
167,-0.5500,0.5500,700,361,0.2500,0.5000,0.3500,SELU,0.1598
168,-0.7500,0.7500,500,186,0.4500,0.5500,0.5500,SELU,0.1015
169,-0.1500,0.1500,100,50,0.5000,0.3000,0.5000,SELU,0.1084
170,-0.0500,0.0500,100,42,0.2500,0.6500,0.5500,SELU,0.1143
171,-0.2000,0.2000,700,499,0.5500,0.5000,0.3500,SELU,0.0660
172,-0.9000,0.9000,600,290,0.5000,0.4500,0.4500,SELU,0.1299
173,-0.1000,0.1000,900,362,0.3500,0.3500,0.6000,SELU,0.1662
174,-0.5000,0.5000,200,127,0.6000,0.4500,0.5000,SELU,0.0900
175,-0.3500,0.3500,800,309,0.2500,0.6500,0.4500,SELU,0.0988
176,-0.1000,0.1000,900,500,0.4500,0.6000,0.4000,SELU,0.1001
177,-0.4000,0.4000,100,65,0.2500,0.3500,0.4500,TANH,0.1036
178,-0.8000,0.8000,200,78,0.4500,0.5500,0.3000,SELU,0.1774
179,-0.1500,0.1500,200,121,0.2000,0.7000,0.3500,SELU,0.1351
180,-0.1000,0.1000,500,349,0.6500,0.6000,0.3500,TANH,0.0666
181,-0.6000,0.6000,800,500,0.2500,0.3500,0.2000,SELU,0.0720
182,-0.9000,0.9000,300,164,0.5500,0.4500,0.2500,SELU,0.0549
183,-0.3500,0.3500,700,354,0.6500,0.3500,0.2500,SELU,0.0827
184,-0.3500,0.3500,500,227,0.5500,0.4000,0.2500,TANH,0.1003
185,-0.1500,0.1500,300,161,0.5000,0.7500,0.3500,SELU,0.0937
186,-0.1000,0.1000,700,344,0.5000,0.4500,0.3000,TANH,0.0891
187,-0.9000,0.9000,700,358,0.4000,0.6000,0.4500,SELU,0.1535
188,-0.6500,0.6500,300,133,0.2500,0.3000,0.3500,SELU,0.1089
189,-0.1500,0.1500,100,40,0.4000,0.3000,0.2000,TANH,0.0961
190,-0.4000,0.4000,600,330,0.6500,0.5500,0.4500,SELU,0.1019
191,-0.3000,0.3000,900,477,0.4000,0.5500,0.2500,TANH,0.0960
192,-0.6500,0.6500,900,479,0.6000,0.5000,0.6000,TANH,0.0745
193,-0.9500,0.9500,100,40,0.2500,0.6500,0.3500,SELU,0.1727
194,-0.0500,0.0500,500,368,0.5000,0.4000,0.4000,SELU,0.0948
195,-0.4500,0.4500,200,116,0.3000,0.8000,0.2500,SELU,0.1254
196,-0.2000,0.2000,200,80,0.4000,0.4000,0.5500,SELU,0.1121
197,-0.3000,0.3000,700,353,0.3500,0.7000,0.5000,TANH,0.1534
198,-0.5500,0.5500,100,46,0.3000,0.6500,0.5000,SELU,0.1569
199,-0.3000,0.3000,100,37,0.4500,0.3500,0.4500,SELU,0.1036
200,-0.1500,0.1500,400,160,0.4000,0.7000,0.2500,TANH,0.1134
201,-0.2500,0.2500,800,472,0.6500,0.7000,0.4000,SELU,0.0964
202,-0.5000,0.5000,500,212,0.3500,0.5000,0.2500,SELU,0.0759
203,-0.1000,0.1000,800,302,0.7000,0.7000,0.4000,SELU,0.1073
204,-0.7000,0.7000,200,120,0.6000,0.4000,0.2500,TANH,0.1253
205,-0.2500,0.2500,800,422,0.2000,0.6000,0.3000,SELU,0.0979
206,-1.0000,1.0000,500,264,0.5000,0.6000,0.5000,SELU,0.0940
207,-0.4000,0.4000,500,185,0.2000,0.6000,0.4500,SELU,0.1543
208,-0.1000,0.1000,700,350,0.2500,0.7500,0.2500,SELU,0.0755
209,-0.6000,0.6000,500,350,0.3500,0.5000,0.4500,TANH,0.0627
210,-0.1000,0.1000,400,232,0.6500,0.3000,0.2000,SELU,0.0341
211,-0.7000,0.7000,600,292,0.4500,0.5500,0.3500,SELU,0.0941
212,-1.1000,1.1000,400,156,0.3000,0.3500,0.3500,SELU,0.2005
213,-0.5500,0.5500,200,119,0.2500,0.6500,0.1500,TANH,0.0715
214,-0.2500,0.2500,900,365,0.3500,0.6500,0.2500,TANH,0.1121
215,-0.9500,0.9500,900,500,0.3000,0.3500,0.4500,TANH,0.1228
216,-0.7000,0.7000,400,269,0.6500,0.6500,0.4000,TANH,0.0940
217,-0.8500,0.8500,1000,500,0.3500,0.3500,0.4000,SELU,0.1447
218,-0.3000,0.3000,900,347,0.3000,0.6500,0.4500,TANH,0.1637
219,-0.4000,0.4000,300,140,0.4000,0.8000,0.4000,TANH,0.1397
220,-0.9500,0.9500,800,334,0.2000,0.6000,0.5500,SELU,0.0875
221,-0.5500,0.5500,100,50,0.5000,0.3000,0.2000,TANH,0.1315
222,-0.8500,0.8500,700,354,0.5000,0.4000,0.2000,SELU,0.0764
223,-0.3000,0.3000,100,39,0.4000,0.5000,0.4000,SELU,0.1444
224,-0.6500,0.6500,700,479,0.3000,0.7000,0.2000,TANH,0.0831
225,-0.5500,0.5500,600,451,0.3000,0.4500,0.3500,SELU,0.1730
226,-1.1000,1.1000,800,500,0.2000,0.4500,0.4000,SELU,0.1104
