Iteration,MinGene,MaxGene,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,MutateChangeBest,AverageFitness
210,0.2406,-0.2406,304,0.6658,0.2963,0.2316,0.4780,0.2117
211,0.2126,-0.2126,288,0.5342,0.2956,0.2313,0.4143,0.2550
212,0.3716,-0.3716,293,0.5571,0.3927,0.2852,0.4184,0.2354
213,0.2062,-0.2062,303,0.6759,0.2856,0.2152,0.5163,0.1538
214,0.5609,-0.5609,285,0.6522,0.2855,0.2970,0.5106,0.2415
215,0.2727,-0.2727,273,0.6500,0.3939,0.2720,0.4185,0.1648
216,0.2218,-0.2218,262,0.5742,0.4168,0.2133,0.5345,0.2475
217,0.5384,-0.5384,279,0.5107,0.3470,0.2191,0.4804,0.2040
218,0.2844,-0.2844,299,0.5572,0.3472,0.2517,0.4936,0.2190
219,0.5766,-0.5766,287,0.6648,0.2992,0.2517,0.5210,0.2310
220,0.5383,-0.5383,279,0.6181,0.3213,0.2600,0.5141,0.2368
221,0.3660,-0.3660,290,0.5212,0.3085,0.2531,0.5201,0.2268
222,0.5572,-0.5572,268,0.5405,0.3943,0.1563,0.4235,0.2592
223,0.4953,-0.4953,292,0.5347,0.3115,0.1443,0.4299,0.2650
224,0.3526,-0.3526,297,0.6169,0.3522,0.2298,0.5452,0.2353
225,0.2710,-0.2710,317,0.5083,0.3174,0.1495,0.4074,0.2667
226,0.4075,-0.4075,262,0.6948,0.2970,0.1751,0.4654,0.3396
227,0.4451,-0.4451,307,0.6900,0.3386,0.1738,0.4015,0.2912
228,0.2629,-0.2629,265,0.5682,0.4096,0.1410,0.5150,0.2561
229,0.4713,-0.4713,285,0.5006,0.3503,0.1567,0.4289,0.2454
230,0.5245,-0.5245,302,0.6318,0.3320,0.2427,0.5030,0.2544
231,0.4216,-0.4216,319,0.5317,0.3517,0.2680,0.4716,0.1746
232,0.2409,-0.2409,305,0.5888,0.3249,0.2230,0.4846,0.2503
233,0.2015,-0.2015,266,0.6597,0.3922,0.1484,0.4995,0.2088
234,0.2413,-0.2413,287,0.6931,0.3424,0.2814,0.4548,0.1844
235,0.5361,-0.5361,282,0.6930,0.3347,0.1599,0.4048,0.2778
236,0.5625,-0.5625,264,0.6645,0.3924,0.2630,0.4904,0.1894
237,0.5780,-0.5780,298,0.5437,0.3084,0.2648,0.4589,0.2125
238,0.2165,-0.2165,309,0.5530,0.4064,0.1961,0.4869,0.2703
239,0.2257,-0.2257,276,0.5041,0.3647,0.1913,0.5100,0.2408
240,0.4552,-0.4552,261,0.5269,0.3572,0.2291,0.4288,0.2711
