Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,ActivationFunction,AverageFitness
235,-0.35,0.35,800,452,0.25,0.65,0.2,SELU,0.0774
236,-0.4,0.4,100,57,0.6,0.35,0.45,SELU,0.1563
237,-0.85,0.85,100,43,0.3,0.3,0.3,SELU,0.1334
238,-0.45,0.45,200,126,0.65,0.6,0.35,SELU,0.0948
239,-0.7,0.7,800,349,0.65,0.6,0.6,SELU,0.1073
240,-0.2,0.2,500,249,0.5,0.65,0.5,SELU,0.1469
241,-0.4,0.4,100,63,0.3,0.5,0.4,SELU,0.1403
242,-0.3,0.3,300,198,0.7,0.35,0.2,SELU,0.0808
243,-0.9,0.9,700,358,0.7,0.55,0.5,TANH,0.1248
244,-0.5,0.5,400,282,0.65,0.45,0.5,SELU,0.0838
245,-0.7,0.7,900,355,0.6,0.5,0.55,TANH,0.1713
246,-0.05,0.05,200,74,0.3,0.5,0.5,TANH,0.1123
247,-0.2,0.2,400,199,0.2,0.3,0.3,TANH,0.0965
248,-0.15,0.15,300,119,0.6,0.7,0.15,SELU,0.0738
249,-0.9,0.9,800,359,0.25,0.5,0.5,TANH,0.1195
250,-0.85,0.85,700,316,0.55,0.3,0.35,SELU,0.09
251,-0.35,0.35,400,259,0.55,0.45,0.6,TANH,0.1397
252,-0.95,0.95,900,425,0.4,0.55,0.2,TANH,0.088
253,-0.75,0.75,600,266,0.3,0.55,0.3,SELU,0.1064
254,-1.05,1.05,800,487,0.2,0.45,0.3,TANH,0.1374
255,-0.3,0.3,800,342,0.3,0.5,0.2,SELU,0.0621
256,-0.3,0.3,700,317,0.2,0.6,0.3,SELU,0.1223
257,-0.55,0.55,100,71,0.3,0.6,0.2,SELU,0.0884
258,-1,1,900,500,0.55,0.45,0.2,TANH,0.0615
259,-0.3,0.3,300,127,0.45,0.35,0.4,TANH,0.0703
260,-0.75,0.75,300,119,0.55,0.4,0.6,SELU,0.0746
261,-0.35,0.35,300,205,0.65,0.55,0.55,SELU,0.1251
262,-0.8,0.8,600,460,0.4,0.4,0.25,SELU,0.0789
263,-0.75,0.75,800,401,0.5,0.35,0.55,TANH,0.1077
264,-0.2,0.2,900,388,0.7,0.4,0.55,SELU,0.1513
265,-0.9,0.9,600,451,0.2,0.5,0.3,TANH,0.0841
266,-0.2,0.2,200,81,0.55,0.45,0.55,SELU,0.0895
267,-0.25,0.25,200,89,0.65,0.5,0.2,SELU,0.1158
268,-0.7,0.7,400,191,0.55,0.4,0.25,SELU,0.0451
269,-0.45,0.45,300,135,0.7,0.65,0.5,TANH,0.1244
270,-0.55,0.55,500,286,0.5,0.65,0.5,SELU,0.1296
271,-0.55,0.55,300,149,0.6,0.65,0.3,SELU,0.0862
272,-0.6,0.6,300,149,0.5,0.55,0.15,TANH,0.0672
273,-0.6,0.6,500,274,0.45,0.5,0.25,SELU,0.1302
274,-0.25,0.25,500,319,0.5,0.5,0.35,TANH,0.114
275,-0.9,0.9,200,116,0.3,0.4,0.6,SELU,0.1572
276,-0.9,0.9,400,200,0.35,0.75,0.25,SELU,0.1128
277,-0.25,0.25,700,365,0.55,0.7,0.45,SELU,0.1606
278,-0.85,0.85,100,54,0.45,0.7,0.6,TANH,0.1718
279,-1.05,1.05,400,164,0.25,0.4,0.25,SELU,0.1354
280,-0.6,0.6,800,500,0.5,0.45,0.25,SELU,0.1388
281,-0.7,0.7,800,484,0.45,0.5,0.55,SELU,0.1249
282,-1.1,1.1,400,169,0.65,0.75,0.35,SELU,0.1294
283,-0.1,0.1,300,160,0.65,0.75,0.15,SELU,0.0956
284,-0.35,0.35,300,160,0.35,0.55,0.6,SELU,0.12
285,-0.75,0.75,300,121,0.25,0.45,0.35,TANH,0.1184
286,-1,1,600,399,0.5,0.75,0.3,TANH,0.083
287,-0.65,0.65,700,306,0.7,0.6,0.55,SELU,0.1322
288,-0.1,0.1,200,98,0.35,0.5,0.4,TANH,0.1035
289,-0.3,0.3,900,338,0.7,0.45,0.6,SELU,0.0933
290,-0.6,0.6,600,312,0.55,0.75,0.25,SELU,0.0815
291,-1.1,1.1,400,217,0.5,0.6,0.2,SELU,0.1797
292,-0.7,0.7,800,373,0.55,0.65,0.5,TANH,0.1394
293,-1,1,400,165,0.65,0.75,0.45,SELU,0.1282
294,-0.9,0.9,300,195,0.4,0.45,0.35,TANH,0.1325
295,-0.65,0.65,100,42,0.65,0.55,0.35,TANH,0.1707
296,-0.05,0.05,200,94,0.4,0.45,0.45,SELU,0.114
297,-1.1,1.1,800,489,0.2,0.8,0.25,TANH,0.1424
298,-1,1,300,222,0.35,0.65,0.55,TANH,0.1013
299,-0.4,0.4,500,238,0.65,0.7,0.15,SELU,0.0626
300,-0.8,0.8,700,420,0.35,0.6,0.15,SELU,0.082
301,-0.45,0.45,500,219,0.5,0.35,0.25,SELU,0.1141
302,-0.8,0.8,700,298,0.45,0.8,0.4,SELU,0.1264
303,-0.65,0.65,400,275,0.55,0.55,0.3,SELU,0.1023
304,-0.3,0.3,100,40,0.5,0.65,0.5,SELU,0.1324
305,-0.55,0.55,600,248,0.5,0.7,0.55,SELU,0.0955
306,-0.7,0.7,200,79,0.35,0.5,0.2,SELU,0.0588
307,-0.35,0.35,200,134,0.4,0.6,0.35,SELU,0.0941
308,-1.05,1.05,1000,500,0.65,0.8,0.4,SELU,0.1843
309,-0.6,0.6,600,263,0.5,0.35,0.55,SELU,0.1002
310,-0.7,0.7,200,90,0.4,0.5,0.4,TANH,0.0871
311,-0.35,0.35,600,356,0.2,0.65,0.6,SELU,0.0967
312,-1.1,1.1,800,306,0.3,0.5,0.45,TANH,0.0997
313,-0.9,0.9,900,359,0.35,0.45,0.5,SELU,0.1092
314,-0.5,0.5,400,222,0.25,0.6,0.5,SELU,0.0936
315,-0.75,0.75,200,84,0.65,0.65,0.5,SELU,0.1379
316,-0.3,0.3,800,430,0.25,0.35,0.25,SELU,0.0787
317,-0.2,0.2,600,342,0.2,0.75,0.2,SELU,0.1033
318,-0.85,0.85,800,307,0.65,0.8,0.45,SELU,0.1299
319,-0.75,0.75,900,450,0.45,0.6,0.3,SELU,0.1047
320,-0.55,0.55,200,81,0.4,0.75,0.55,SELU,0.1353
321,-0.35,0.35,800,396,0.4,0.5,0.5,TANH,0.1464
322,-0.95,0.95,600,211,0.3,0.8,0.3,TANH,0.1053
323,-0.8,0.8,600,248,0.6,0.7,0.3,TANH,0.1034
324,0,0,400,141,0.3,0.5,0.5,TANH,0.1446
325,-0.2,0.2,200,82,0.3,0.4,0.4,TANH,0.1001
326,-0.2,0.2,800,272,0.3,0.5,0.6,TANH,0.0773
327,-0.2,0.2,500,368,0.3,0.8,0.2,TANH,0.074
328,-0.85,0.85,300,125,0.7,0.3,0.3,TANH,0.1516
329,-0.6,0.6,700,467,0.2,0.7,0.3,TANH,0.1412
330,-0.3,0.3,100,43,0.3,0.8,0.2,TANH,0.1226
331,-0.1,0.1,1100,821,0.5,0.6,0.5,TANH,0.1092
332,-0.15,0.15,900,363,0.5,0.7,0.4,TANH,0.1461
333,-0.2,0.2,700,286,0.4,0.7,0.3,TANH,0.1413
334,-0.85,0.85,100,73,0.3,0.7,0.5,TANH,0.1534
335,-0.65,0.65,500,393,0.6,0.5,0.4,TANH,0.0955
336,-0.5,0.5,200,138,0.3,0.5,0.3,TANH,0.0935
337,-0.95,0.95,900,606,0.5,0.5,0.2,TANH,0.1524
338,-0.55,0.55,500,228,0.5,0.5,0.6,TANH,0.1486
339,-0.55,0.55,900,364,0.3,0.8,0.3,TANH,0.1013
340,-0.3,0.3,200,81,0.4,0.7,0.3,TANH,0.1215
341,-1.05,1.05,200,104,0.6,0.7,0.5,TANH,0.1491
342,-0.5,0.5,900,326,0.3,0.5,0.3,TANH,0.0967
343,-0.15,0.15,1000,392,0.7,0.4,0.5,TANH,0.125
344,-0.95,0.95,200,130,0.3,0.8,0.2,TANH,0.1216
345,-0.8,0.8,100,55,0.3,0.6,0.3,TANH,0.1497
346,-1.05,1.05,400,312,0.7,0.6,0.5,TANH,0.1233
347,-0.05,0.05,100,48,0.4,0.8,0.2,TANH,0.1308
348,-0.55,0.55,300,151,0.4,0.7,0.4,TANH,0.1528
349,-0.75,0.75,800,463,0.4,0.7,0.4,TANH,0.0886
350,-0.45,0.45,700,339,0.4,0.4,0.5,TANH,0.1684
351,-0.25,0.25,900,671,0.3,0.5,0.4,TANH,0.0912
352,-0.15,0.15,100,46,0.4,0.6,0.6,TANH,0.1318
353,-0.55,0.55,700,255,0.3,0.7,0.2,TANH,0.0827
354,-0.45,0.45,500,237,0.5,0.7,0.5,TANH,0.1124
355,0,0,600,246,0.4,0.4,0.5,TANH,0.1811
356,-0.05,0.05,1000,459,0.5,0.7,0.5,TANH,0.103
357,-0.4,0.4,800,663,0.7,0.5,0.3,TANH,0.0932
358,-0.6,0.6,600,209,0.5,0.7,0.5,TANH,0.1225
359,-0.55,0.55,900,383,0.5,0.7,0.2,TANH,0.0826
360,-0.35,0.35,500,305,0.4,0.7,0.4,TANH,0.1679
361,-0.25,0.25,800,654,0.4,0.7,0.3,TANH,0.1159
